Date,Rise,Set,RiseAzimuth,SetAzimuth,Meridian,Altitude,Distance,Illuminated,Phase,PhaseTime,PosAngle
2023-06-27,14:55:55,01:22:05,103.4,263.1,20:18:13,21.4,391250,64.2%,waxinggibbous,,22.1
2023-06-28,16:25:53,01:22:06,116.0,251.5,21:02:43,15.6,385380,74.0%,waxinggibbous,,19.3
2023-06-29,18:03:06,01:22:49,128.8,239.6,21:51:24,10.3,379156,83.1%,waxinggibbous,,14.7
2023-06-30,19:48:27,01:25:07,141.5,227.5,22:45:25,5.8,373070,90.7%,waxinggibbous,,7.5
2023-07-01,21:37:32,01:30:56,152.9,215.8,23:45:08,2.8,367666,96.4%,waxinggibbous,,356.1
2023-07-02,23:11:04,01:45:54,159.3,205.6,,,,,waxinggibbous,,
2023-07-03,,02:27:00,,200.5,00:49:23,1.6,363471,99.4%,fullmoon,13:38:44,327.8
2023-07-04,00:01:45,03:54:47,156.0,205.3,01:55:17,2.4,360898,99.4%,waninggibbous,,206.0
2023-07-05,00:20:48,05:49:43,145.9,216.8,02:59:22,5.3,360159,96.2%,waninggibbous,,177.9
2023-07-06,00:28:09,07:46:22,133.3,230.7,03:59:13,10.0,361223,90.1%,waninggibbous,,167.4
2023-07-07,00:31:11,09:36:18,120.0,245.1,04:54:09,15.9,363849,81.5%,waninggibbous,,161.5
2023-07-08,00:32:25,11:19:03,106.5,259.5,05:44:54,22.6,367657,71.2%,waninggibbous,,158.2
2023-07-09,00:32:53,12:56:47,93.2,273.5,06:32:48,29.4,372220,60.0%,waninggibbous,,157.1
2023-07-10,00:33:10,14:32:12,80.3,287.1,07:19:20,36.1,377132,48.5%,thirdquarter,03:47:53,157.8
2023-07-11,00:33:46,16:07:40,67.7,300.2,08:05:50,42.3,382061,37.4%,waningcrescent,,160.1
2023-07-12,00:35:14,17:44:26,55.7,312.5,08:53:28,47.7,386764,27.2%,waningcrescent,,164.1
2023-07-13,00:38:32,19:21:46,44.3,323.8,09:42:55,52.1,391088,18.3%,waningcrescent,,169.6
2023-07-14,00:45:42,20:54:33,34.0,333.1,10:34:21,55.3,394948,11.0%,waningcrescent,,176.9
2023-07-15,01:01:30,22:10:18,25.7,338.1,11:27:13,57.1,398305,5.5%,waningcrescent,,186.4
2023-07-16,01:36:30,22:55:59,21.7,336.5,12:20:20,57.4,401136,1.9%,waningcrescent,,200.8
2023-07-17,02:40:35,23:17:10,24.2,329.9,13:12:17,56.2,403411,0.3%,newmoon,20:31:51,244.6
2023-07-18,04:05:03,23:26:34,31.8,320.8,14:01:55,53.7,405079,0.7%,waxingcrescent,,342.4
2023-07-19,05:35:11,23:30:47,41.7,310.7,14:48:37,50.1,406062,3.0%,waxingcrescent,,4.4
2023-07-20,07:03:56,23:32:33,52.6,300.1,15:32:28,45.7,406258,7.1%,waxingcrescent,,13.2
2023-07-21,08:29:29,23:33:05,63.9,289.3,16:13:59,40.6,405550,12.9%,waxingcrescent,,18.2
2023-07-22,09:52:18,23:32:58,75.5,278.2,16:54:00,35.1,403835,20.0%,waxingcrescent,,21.1
2023-07-23,11:13:59,23:32:37,87.2,267.0,17:33:33,29.3,401037,28.4%,waxingcrescent,,22.3
2023-07-24,12:36:36,23:32:20,99.2,255.6,18:13:48,23.5,397139,37.8%,waxingcrescent,,22.2
2023-07-25,14:02:31,23:32:30,111.4,244.0,18:56:00,17.7,392210,47.9%,waxingcrescent,,20.6
2023-07-26,15:34:10,23:33:43,123.8,232.3,19:41:30,12.3,386424,58.5%,firstquarter,00:06:47,17.5
2023-07-27,17:13:24,23:37:12,136.3,220.7,20:31:37,7.6,380079,69.0%,waxinggibbous,,12.6
2023-07-28,18:59:26,23:46:09,148.2,209.7,21:27:17,3.9,373603,79.0%,waxinggibbous,,5.9
2023-07-29,20:42:25,,157.7,,22:28:23,1.8,367532,87.8%,waxinggibbous,,357.1
2023-07-30,21:54:40,00:10:37,159.3,201.5,23:33:14,1.7,362461,94.6%,waxinggibbous,,345.7
2023-07-31,22:25:16,01:14:33,151.6,201.3,,,,,waxinggibbous,,
2023-08-01,22:36:28,03:01:25,139.6,210.5,00:38:44,3.5,358944,98.8%,fullmoon,20:31:40,326.0
2023-08-02,22:40:54,05:01:33,126.2,223.9,01:41:43,7.5,357375,99.7%,waninggibbous,,220.8
2023-08-03,22:42:41,06:58:22,112.3,238.6,02:40:23,13.1,357902,97.4%,waninggibbous,,172.5
2023-08-04,22:43:19,08:47:58,98.4,253.6,03:34:36,19.7,360403,92.0%,waninggibbous,,162.6
2023-08-05,22:43:33,10:31:20,84.8,268.3,04:25:18,26.8,364532,84.1%,waninggibbous,,158.8
2023-08-06,22:43:54,12:10:55,71.7,282.6,05:13:52,33.8,369806,74.4%,waninggibbous,,157.9
